Epoch,Train_Loss,Train_IoU_per_Class,Train_Mean_IoU,Train_F1_per_Class,Train_Mean_F1,Val_Loss,Val_IoU_per_Class,Val_Mean_IoU,Val_F1_per_Class,Val_Mean_F1
1,0.5644597985914775,[0.45166557 0.90840821 0.60923401 0.41203774 0.27697292 0.69621749],0.5590893241962311,[0.61244157 0.95056661 0.74729075 0.56626676 0.37857316 0.81107465],0.6777022490100465,0.4124565595302029,[0.51834693 0.93547776 0.67416055 0.44492426 0.48202849 0.73552592],0.631743986874294,[0.66619285 0.96570475 0.78456165 0.59566378 0.59426441 0.83325939],0.7399411395000651
2,0.428841166488536,[0.51998055 0.93901457 0.68231629 0.51491094 0.48026221 0.7690895 ],0.650929012362295,[0.67719903 0.96816471 0.80444254 0.67076246 0.62290542 0.86383947],0.767885604183375,0.43669761555350345,[0.52743577 0.94369644 0.67199429 0.21614233 0.47792745 0.73836181],0.5959263479870385,[0.67826408 0.97020941 0.78352917 0.32318867 0.60693789 0.83447718],0.6994344001898969
3,0.3760637101027873,[0.55065696 0.94730474 0.71536367 0.54851784 0.52650741 0.80393945],0.6820483458161886,[0.70486575 0.97265055 0.82807074 0.69984445 0.66105029 0.88754749],0.7923382120272467,0.3243952767680521,[0.61079336 0.95944357 0.7164571  0.58191871 0.55624608 0.7909215 ],0.7026300519399159,[0.74670719 0.97885808 0.81372893 0.7240235  0.66993885 0.87079684],0.8006755640909665
4,0.3309945239649191,[0.58523523 0.95528019 0.75392357 0.57934387 0.56630815 0.8234806 ],0.7105952656386396,[0.73301248 0.97691335 0.85585011 0.72621081 0.69996421 0.89979229],0.8152905397759186,0.3720546417694161,[0.5971611  0.95630728 0.6811596  0.43811947 0.5034471  0.77413614],0.6583884473686762,[0.73862923 0.97736966 0.78316891 0.57670081 0.63116657 0.85898305],0.7610030375416268
5,0.30956521422251476,[0.6007031  0.95807147 0.77256733 0.60309364 0.59313121 0.83280037],0.7267278542347028,[0.74535673 0.978362   0.86809775 0.74539765 0.72146507 0.90584083],0.8274200061735297,0.29309198298100114,[0.63249341 0.96425057 0.75185062 0.59565626 0.56622234 0.8030522 ],0.7189209012360793,[0.76597576 0.98146004 0.83966484 0.73542901 0.67758477 0.87643868],0.8127588520753356
6,0.29594147950410843,[0.61405143 0.96131404 0.77378512 0.61467339 0.6081811  0.84089043],0.7354825843894975,[0.7563506  0.98008331 0.86832458 0.75567866 0.73352064 0.9111918 ],0.8341915998233996,0.28875053652386734,[0.63906389 0.96257863 0.73139812 0.59180169 0.62437723 0.80445909],0.725613107373893,[0.77110454 0.98048786 0.82090972 0.73189533 0.73767238 0.87854947],0.820103214689247
7,0.2811879835442289,[0.62445791 0.96395237 0.78421487 0.62460458 0.63034255 0.85188965],0.7465769893306335,[0.76406057 0.98148703 0.87439083 0.76255962 0.7518657  0.91753873],0.8419837474982251,0.4349577156961828,[0.58578267 0.93602582 0.67165634 0.48744643 0.53150969 0.69132466],0.6506242695810602,[0.72900259 0.96547697 0.78124493 0.6348504  0.65084893 0.79420129],0.7592708516552715
8,0.2623782410685505,[0.6444872  0.96814745 0.7961635  0.64660245 0.66995431 0.85571271],0.7635112677406504,[0.77932756 0.98369626 0.88175884 0.77986631 0.78771634 0.91919458],0.8552599814377757,0.3359753039220105,[0.62374062 0.96390283 0.73158936 0.435315   0.5841507  0.76801712],0.6844526055411088,[0.75978882 0.98132844 0.82426315 0.5786056  0.69338674 0.8535388 ],0.7818185924877866
9,0.24981209064845916,[0.65298886 0.96811072 0.81699867 0.6504625  0.66209961 0.86326547],0.7689876404744109,[0.78662919 0.98369233 0.89740963 0.78336173 0.7785755  0.92495056],0.8591031554997678,0.2753269318221272,[0.64990676 0.96102161 0.76241167 0.63020776 0.63990857 0.83678014],0.7467060843302648,[0.77715427 0.97973125 0.84350937 0.76187956 0.74618528 0.90108056],0.834923380760899
10,0.23773276653479447,[0.66743556 0.97048125 0.82232141 0.66038418 0.69071355 0.86946401],0.780133324823427,[0.79676401 0.98492847 0.90062342 0.7904699  0.80294859 0.92871566],0.8674083420083541,0.25693345733958745,[0.65858268 0.9708293  0.78155663 0.63808272 0.66001445 0.8310279 ],0.7566822806793908,[0.78375943 0.98494476 0.8606253  0.76908935 0.7653199  0.89741698],0.8435259527157868
11,0.22300610159124648,[0.68427062 0.97452505 0.82913636 0.67410438 0.70424006 0.87211986],0.7897327230562653,[0.80865943 0.9870396  0.90355136 0.79972255 0.81239956 0.93005706],0.873571594136624,0.2727627837355586,[0.67744948 0.97248696 0.76216521 0.57982469 0.62081059 0.81019248],0.7371549041205588,[0.79963468 0.98586917 0.84766077 0.72141081 0.72991375 0.88323402],0.8279538646167154
12,0.2175560494425235,[0.68431629 0.9728866  0.8385882  0.67526926 0.71428137 0.8790855 ],0.7940712042346404,[0.80904428 0.98618655 0.9107975  0.8009261  0.8217858  0.93426385],0.8771673478508667,0.22874576852157497,[0.69739779 0.9740733  0.78692044 0.65166503 0.67625134 0.8548838 ],0.7735319520855223,[0.81410907 0.98672671 0.86179982 0.77596577 0.77788147 0.91232541],0.8548013743661022
13,0.2043860506072834,[0.6999611  0.97462183 0.84923493 0.68348323 0.72045846 0.88660031],0.8023933090342136,[0.82026375 0.98708237 0.91738763 0.80672016 0.82452141 0.93899102],0.8824943902124188,0.24959940927616064,[0.69237393 0.9724639  0.79505955 0.6423084  0.64343864 0.83116422],0.7628014392403949,[0.81001878 0.98584033 0.86956736 0.77011407 0.74705431 0.89556689],0.8463602900316102
14,0.19873815387874455,[0.70853022 0.97410012 0.85306674 0.69966373 0.74078407 0.88964626],0.8109651909923398,[0.82619665 0.98681726 0.91933305 0.81888603 0.84309784 0.9404193 ],0.8891250204569076,0.27570261347337044,[0.6673615  0.96523652 0.76311194 0.59238653 0.66082406 0.82011035],0.7448384831344556,[0.79205303 0.98201407 0.84551969 0.73246986 0.76613975 0.89005144],0.8347079700290941
15,0.19156195946618335,[0.71534114 0.97655641 0.85906595 0.69844109 0.74666872 0.89465217],0.815120910374988,[0.83132939 0.98807862 0.92298135 0.81842929 0.84459764 0.94364093],0.8915095360812558,0.22499094449955484,[0.69669756 0.97513462 0.79646908 0.67010872 0.67396858 0.85791444],0.7783821672710123,[0.81231067 0.98726343 0.86558932 0.79280227 0.77098571 0.91519446],0.857357640574115
16,0.17875492991274827,[0.73055633 0.97938258 0.866768   0.71703297 0.76211035 0.89787572],0.8256209928028523,[0.84189542 0.98955485 0.92749104 0.83210236 0.85557032 0.94541519],0.8986715271945065,0.25791058154857677,[0.6821423  0.9729712  0.78771725 0.65060702 0.64596683 0.84493757],0.76405703003572,[0.80122738 0.98610551 0.86440463 0.77808224 0.75152161 0.90609781],0.847906528316761
17,0.16965231606615827,[0.74202162 0.98121415 0.87074394 0.72483186 0.7806346  0.8999843 ],0.8332384113057061,[0.84981154 0.99049701 0.93012764 0.83734363 0.87120522 0.94527564],0.9040434479540077,0.2376137575323599,[0.69492927 0.97414233 0.7930021  0.66386693 0.68327278 0.85360253],0.7771359888149497,[0.81112262 0.98668896 0.86486333 0.78756333 0.78154168 0.91297005],0.8574583271500353
18,0.1645815661056088,[0.75103534 0.98010722 0.87828718 0.73691713 0.77338097 0.90446723],0.837365844170059,[0.85594804 0.98992204 0.93444079 0.845703   0.8659025  0.94921035],0.9068544522024595,0.2409153133360804,[0.70473386 0.97022672 0.79711458 0.65858907 0.68965956 0.8504209 ],0.778457449250832,[0.8179836  0.98462577 0.86917347 0.78339159 0.78862635 0.91012373],0.8589874198322819
19,0.16005728108348785,[0.75849829 0.97974027 0.88174765 0.73921961 0.78500287 0.90849793],0.8421177690832581,[0.86070492 0.98972694 0.9364625  0.84739911 0.87341857 0.95154896],0.9098768342141207,0.23362897376975286,[0.70609334 0.97519906 0.79465693 0.65397234 0.67485721 0.8577225 ],0.7770835644372059,[0.82024249 0.98726774 0.86683417 0.77774404 0.77549797 0.9156461 ],0.8572054182489713
20,0.14827406116120226,[0.77242216 0.98287417 0.88674392 0.75026717 0.79109503 0.9140296 ],0.849572005580901,[0.87024579 0.99134874 0.93792893 0.85537695 0.87700722 0.9546906 ],0.9144330362253118,0.2650190153145704,[0.71184731 0.97563257 0.7983023  0.64220074 0.69354442 0.83783132],0.7765597788401055,[0.82402365 0.98753443 0.86949057 0.76879703 0.78943468 0.90029487],0.856595870849771
21,0.1430596306968432,[0.78094984 0.9838448  0.88975882 0.75396596 0.78903611 0.91708125],0.8524394607860838,[0.87552062 0.99184375 0.94061932 0.85726741 0.87318663 0.95635613],0.9157989767351836,0.2895543594723162,[0.67744809 0.96951126 0.76937115 0.61458961 0.67508727 0.83288223],0.7564816019128883,[0.79842875 0.98419177 0.84710844 0.7494909  0.77244337 0.89865495],0.8417196951284645
22,0.14123634822279602,[0.78271708 0.98371349 0.89182933 0.76288797 0.79565565 0.91733397],0.8556895823060691,[0.87670617 0.99177275 0.94224255 0.86362305 0.88160513 0.95647235],0.918737002007373,0.2462723646852849,[0.70902249 0.97081924 0.80754501 0.6792147  0.7002503  0.86151345],0.7880608643875301,[0.82106891 0.98493038 0.87474699 0.79864776 0.79548831 0.9169847 ],0.8653111756590289
23,0.1417212224771063,[0.78210147 0.98122957 0.89435652 0.76297884 0.78800533 0.91960073],0.8547120771786093,[0.87629119 0.9904901  0.94370056 0.86337976 0.87507145 0.95777242],0.9177842471401866,0.23535354683796564,[0.7228295  0.97796084 0.80282894 0.66942241 0.70403186 0.86113805],0.7897019343830842,[0.83105504 0.98874487 0.87074737 0.79076912 0.79489279 0.91732739],0.8655894311383404
24,0.12306867728566194,[0.80885707 0.98577835 0.9051977  0.7898142  0.81357577 0.92674767],0.871661793968733,[0.89343815 0.99283083 0.9496459  0.88151037 0.89046026 0.96173004],0.9282692564707814,0.2531419567277898,[0.70508694 0.9718206  0.79934003 0.65455055 0.71241306 0.84822808],0.781906544674044,[0.81875368 0.98546593 0.86774491 0.77815688 0.80571504 0.90860086],0.8607395508187116
25,0.14051802497502272,[0.78533056 0.98066075 0.89504418 0.76952462 0.80028575 0.9176349 ],0.8580801267241375,[0.878556   0.99020227 0.94410747 0.86827026 0.88331138 0.95652142],0.9201614683195626,0.2416958636401788,[0.72809995 0.97739872 0.80791958 0.65545211 0.71190506 0.85618861],0.7894940027013276,[0.83546131 0.98845461 0.87516245 0.78095907 0.80530764 0.91378277],0.8665213094178389
26,0.11666309191276888,[0.81893312 0.98636822 0.91035014 0.79675438 0.82075913 0.93063298],0.877299659699252,[0.89967561 0.9931301  0.95273583 0.88557843 0.89638947 0.96385998],0.9318949035210112,0.2377820502480735,[0.72513545 0.9773348  0.81469461 0.68479716 0.7176452  0.86690553],0.797752124246138,[0.83368864 0.98841214 0.88335903 0.80080666 0.80848743 0.92131567],0.8726782609308184
27,0.10984293404095746,[0.82883897 0.98739958 0.91465099 0.80404153 0.83241409 0.93460951],0.8836591135936254,[0.90570401 0.99365473 0.9551851  0.89020105 0.90466651 0.96600809],0.9359032483005422,0.2438368896373372,[0.73251774 0.97769635 0.8144233  0.68563857 0.72786668 0.86309975],0.800207063298704,[0.83748696 0.98857328 0.88199409 0.80332537 0.81665283 0.91816481],0.8743662232125925
28,0.10680297075153945,[0.83468118 0.98773143 0.91595402 0.80929749 0.83602891 0.93358424],0.8862128801224552,[0.90928377 0.99382212 0.95583837 0.89340706 0.9069517  0.96544197],0.9374574976791807,0.24594778132935366,[0.72568477 0.97802907 0.81020399 0.64401208 0.72485973 0.86262931],0.7909031588008295,[0.83394349 0.98873984 0.87506549 0.7698481  0.81445796 0.91843345],0.8667480554544156
29,0.13766342611959229,[0.79240503 0.980259   0.89154333 0.77919897 0.80104078 0.92515526],0.8616003942618184,[0.88291369 0.98997538 0.94190643 0.87433962 0.8826904  0.9607917 ],0.9221028695764923,0.24692072986584643,[0.72101308 0.97627171 0.80579162 0.67794472 0.69099481 0.86457861],0.7894324257852877,[0.82908387 0.98781602 0.87227248 0.79652752 0.78537423 0.9194897 ],0.8650939704193442
30,0.10623830513327152,[0.83572809 0.98739515 0.91540253 0.80819984 0.8337073  0.93584935],0.8860470447609922,[0.90989165 0.99365132 0.95548193 0.89270853 0.90493844 0.96667223],0.9372240172792831,0.24090676789806373,[0.73226531 0.97869066 0.81315793 0.69131548 0.72959227 0.86890648],0.8023213552938694,[0.83744654 0.98909557 0.87700068 0.80815083 0.81815802 0.922456  ],0.8753846082116526
