Epoch,Train_Loss,Train_IoU_per_Class,Train_Mean_IoU,Train_F1_per_Class,Train_Mean_F1,Val_Loss,Val_IoU_per_Class,Val_Mean_IoU,Val_F1_per_Class,Val_Mean_F1
1,0.7223268143542401,[0.40804842 0.86517506 0.53728173 0.36805378 0.24996044 0.65431025],0.513804946577945,[0.56791789 0.92355116 0.68267094 0.51452138 0.3440279  0.77641007],0.6348498911586149,0.5043900705118111,[0.50707123 0.92374673 0.65239308 0.4223664  0.41447781 0.73883089],0.6098143575386289,[0.66001029 0.95921186 0.77529175 0.57657635 0.54900697 0.83800491],0.726350356040158
2,0.4515736905204785,[0.51870936 0.9274118  0.66724334 0.50783732 0.44973792 0.76076527],0.6386175017754582,[0.67631232 0.96175144 0.79241682 0.66377195 0.58886255 0.85874271],0.7569762973834696,0.36538171152705734,[0.56534951 0.92650644 0.72683662 0.53562436 0.49650557 0.78855516],0.6732296078786583,[0.71136632 0.96087236 0.82953742 0.67993835 0.61574615 0.87003055],0.7779151928898412
3,0.37999895882683915,[0.55789683 0.94254976 0.71955923 0.55160274 0.55652873 0.79773525],0.6876454234135325,[0.71071476 0.97007814 0.8300549  0.7027322  0.68903311 0.88269013],0.7975505408246345,0.3718007530855096,[0.55232856 0.94995673 0.72183143 0.41709703 0.39004532 0.77143221],0.6337818792025848,[0.69717325 0.97372774 0.82212026 0.56604361 0.51051669 0.86326202],0.7388072638794361
4,0.3473678158668729,[0.58002285 0.94717356 0.74351078 0.57351078 0.56663168 0.80794449],0.7031323555297545,[0.72796682 0.97256198 0.84828288 0.71963937 0.69757836 0.89024542],0.8093791375263267,0.31619482633212337,[0.5953749  0.95252491 0.74090519 0.57445963 0.47057452 0.83465976],0.6947498188426061,[0.73415243 0.97509501 0.83536128 0.71129915 0.5939261  0.90404129],0.7923125441384092
5,0.32473889588342086,[0.59639257 0.95242487 0.7601193  0.58948258 0.61230009 0.82255925],0.7222131111485747,[0.74159928 0.97541547 0.85903411 0.73382347 0.73922136 0.89874843],0.8246403539238812,0.39733337573167204,[0.58320361 0.94665276 0.68597602 0.46108605 0.3455879  0.80736289],0.6383115392394677,[0.7229764  0.9717699  0.79481395 0.5997265  0.46327984 0.88343527],0.7393336419016053
6,0.30967993156186174,[0.61148786 0.95596878 0.77219429 0.60529784 0.62744223 0.83011925],0.7337517082183198,[0.7531311  0.97725467 0.86782216 0.7467659  0.74883823 0.90396734],0.8329632336443121,0.2821415148243524,[0.59555232 0.95635879 0.77010462 0.59889345 0.61449379 0.83468385],0.72834780341147,[0.73474103 0.97706184 0.8560004  0.73325252 0.72502932 0.90275026],0.8214725627572892
7,0.285774416955454,[0.63322481 0.9610367  0.7898288  0.63084001 0.64404579 0.83689486],0.7493118293426156,[0.77021124 0.97997273 0.87882714 0.7667122  0.76411762 0.90820974],0.8446751124794026,0.3475049755711486,[0.60227657 0.95793587 0.67999217 0.5006213  0.59068512 0.82137263],0.6921472762765336,[0.73973402 0.97804745 0.7937881  0.64769851 0.70233495 0.89275995],0.7923938289041752
8,0.28142421353947034,[0.63953003 0.96313344 0.79566945 0.61743253 0.64022881 0.83086364],0.7478096498623974,[0.77531509 0.98106088 0.88258253 0.75583316 0.75951973 0.90353864],0.8429750036045071,0.2606660453197749,[0.64319338 0.96425189 0.79219218 0.62531517 0.52625459 0.8485957 ],0.7333004849249777,[0.77321683 0.98149851 0.8734234  0.75489421 0.6574225  0.91264601],0.8255169084610571
9,0.2553712144348915,[0.65991649 0.96588298 0.81726242 0.64622411 0.67536785 0.85018641],0.769140042558119,[0.79067752 0.98252456 0.8969884  0.77888522 0.78772592 0.91643287],0.858872414828637,0.229489303747381,[0.65707581 0.96781793 0.81209487 0.64514783 0.63824123 0.87541752],0.7659658648395361,[0.78364206 0.98332414 0.88519713 0.77206534 0.75026382 0.92954638],0.8506731456033165
10,0.25418796733795823,[0.66199085 0.9666622  0.81391678 0.647887   0.66733553 0.85395546],0.7686246371076106,[0.79174878 0.98290214 0.89414473 0.78085823 0.78135497 0.91901176],0.8583367665003969,0.27572191555214964,[0.62881522 0.96180767 0.78233132 0.54516779 0.59589252 0.84454743],0.7264269908671076,[0.76313057 0.98016945 0.86715831 0.68632535 0.70918539 0.91035075],0.819386635906432
