Epoch,Train_Loss,Train_IoU_per_Class,Train_Mean_IoU,Train_F1_per_Class,Train_Mean_F1,Val_Loss,Val_IoU_per_Class,Val_Mean_IoU,Val_F1_per_Class,Val_Mean_F1
1,0.5905638391805159,[0.42694474 0.87440945 0.60473605 0.42807359 0.30967718 0.71956636],0.5605678948651106,[0.58689226 0.92970659 0.74008558 0.58165217 0.42784022 0.82781586],0.6823321120450316,0.4246102389002192,[0.53970928 0.92075287 0.64600251 0.49908899 0.34763392 0.7897282 ],0.6238192948794281,[0.69068773 0.95717899 0.76277377 0.63568942 0.47588072 0.87263993],0.7324750945890144
2,0.40302654442849095,[0.52142284 0.92981196 0.70355956 0.5412404  0.48192928 0.7921069 ],0.6616784910671764,[0.67877588 0.96320614 0.82103716 0.69429557 0.62025688 0.8798452 ],0.7762361367522791,0.33465033580643544,[0.60614704 0.94212178 0.70616042 0.57738689 0.50619231 0.82163036],0.6932731308435272,[0.74614733 0.96906874 0.80936482 0.71374025 0.62672637 0.89467868],0.7932876977228204
3,0.36612633286745516,[0.55226856 0.936707   0.7306082  0.57298969 0.5468475  0.80450417],0.6906541854776119,[0.70538919 0.96689476 0.83915232 0.72026741 0.68189019 0.88716966],0.8001272556295386,0.3251311355742855,[0.59607038 0.94015761 0.72849849 0.58427959 0.47087884 0.82225021],0.6903558539747988,[0.73703349 0.96778966 0.82613049 0.71911434 0.57805784 0.89535893],0.78724745938055
4,0.3411073251687861,[0.5750628  0.94531347 0.74352029 0.57452321 0.57844114 0.81293643],0.7049662247337944,[0.72402047 0.9715333  0.84754779 0.7209622  0.71201772 0.8923063 ],0.8113979632055056,0.3240248543628748,[0.62498565 0.94303094 0.72182425 0.56197378 0.44160826 0.80905534],0.6837463689567144,[0.75964354 0.96939584 0.82033445 0.69394838 0.54554093 0.88956622],0.7797382270364763
5,0.3261447672720079,[0.58796306 0.94619622 0.75560875 0.59727539 0.6050082  0.82584433],0.7196493278363633,[0.73501815 0.97200193 0.85629489 0.74046561 0.73545321 0.90112134],0.8233925200251911,0.3248344132865685,[0.60157098 0.92584327 0.73068644 0.60109767 0.53996972 0.82432143],0.7039149186468756,[0.7391132  0.95962916 0.82533872 0.73480051 0.65117855 0.89721267],0.8012121341684452
6,0.3071506140003731,[0.6073217  0.95241733 0.76636998 0.61750768 0.60239682 0.82983976],0.7293088784712484,[0.75032853 0.97538468 0.86315327 0.75593829 0.72912794 0.90353769],0.8295783988269171,0.28964614652205206,[0.65422776 0.9497421  0.74768089 0.62058141 0.57383606 0.83836572],0.7307389911498207,[0.78259165 0.97320819 0.83445515 0.7478064  0.68441582 0.90615644],0.8214389417944886
7,0.29482230902105183,[0.61441493 0.95325828 0.77902791 0.61984219 0.62441128 0.83361937],0.7374289924484473,[0.75621188 0.97580924 0.87201631 0.75883812 0.74746266 0.90596012],0.8360497218060804,0.3000121062108572,[0.64134292 0.95079863 0.71721002 0.63847242 0.56989386 0.8420577 ],0.7266292564225666,[0.77269634 0.97376922 0.81688726 0.764421   0.68274354 0.90901903],0.8199227315580467
8,0.28628115571261226,[0.62345711 0.95742342 0.79012094 0.62501532 0.64107879 0.83432139],0.7452361614038177,[0.76263244 0.97808074 0.87953898 0.76163277 0.76273089 0.90627122],0.8418145061871721,0.2925471318480761,[0.64258015 0.94784621 0.74887015 0.61388799 0.57785964 0.83727698],0.7280535213143119,[0.77179262 0.97222026 0.83754091 0.74413023 0.68467994 0.90594254],0.8193844164123282
9,0.2755160825931794,[0.63472532 0.96007679 0.79074331 0.63100971 0.64006477 0.84838621],0.7508343541510887,[0.77215373 0.97946975 0.87968961 0.76716289 0.7627064  0.91502234],0.8460341199014932,0.2673387441622174,[0.66249392 0.95815584 0.77568274 0.62853671 0.58388912 0.85259809],0.7435594050214819,[0.78716241 0.97803565 0.85884203 0.75512053 0.69099104 0.91656222],0.8311189800390641
10,0.2686565307198794,[0.63635831 0.95920677 0.79787601 0.6385631  0.64740845 0.84799976],0.7545687337335424,[0.77246018 0.97902272 0.88412262 0.77215621 0.7673082  0.91531546],0.8483975640723876,0.31109509303949884,[0.6353149  0.9543988  0.74005119 0.60049927 0.57327157 0.80568069],0.7182027366032582,[0.76811795 0.97589806 0.82962847 0.73594694 0.68317769 0.88544505],0.813035695672998
11,0.2579929610932028,[0.65106107 0.9614986  0.80514671 0.64709705 0.65884706 0.85837956],0.7636716738252526,[0.78425826 0.9801789  0.88863858 0.78025574 0.77756345 0.92199774],0.8554821145736907,0.260018995490627,[0.6519458  0.95222706 0.78636838 0.65449069 0.61457914 0.85235493],0.7519943343001926,[0.77790794 0.97471385 0.86869868 0.77694367 0.72341723 0.9154161 ],0.8395162439401203
12,0.25338589753229895,[0.65496492 0.96212385 0.80988432 0.65177201 0.67375329 0.86189866],0.7690661749459835,[0.78688598 0.98056178 0.891492   0.78298268 0.78990631 0.92409482],0.8593205944574498,0.26081218408501666,[0.67025465 0.95919011 0.78040081 0.6260106  0.56366642 0.85611031],0.7426054831594229,[0.79455283 0.97857514 0.86323776 0.75297961 0.67516395 0.91831435],0.8304706092581945
13,0.250031367186215,[0.65844703 0.96263434 0.81715586 0.65671863 0.67652575 0.85879346],0.7717125115746865,[0.78933938 0.98081393 0.89664322 0.78631789 0.79360638 0.92231888],0.8615066141604615,0.2969183488816455,[0.64074111 0.95655876 0.74692555 0.63032712 0.58063209 0.82806749],0.7305420191417524,[0.77136973 0.97712407 0.84328732 0.75279432 0.69373787 0.89939708],0.8229517312068042
14,0.24733571178437053,[0.66540867 0.9639224  0.81838154 0.65553531 0.68741689 0.85738304],0.7746746419380658,[0.79454818 0.98148666 0.89801752 0.78514349 0.80123633 0.92134441],0.8636294321169133,0.29620653482666914,[0.65788929 0.95037667 0.75389451 0.59099339 0.601061   0.82455784],0.729795451206619,[0.78363378 0.97376566 0.84174241 0.71913461 0.70902223 0.89708215],0.8207301399777397
15,0.2348371920260516,[0.67698177 0.96826539 0.82453168 0.66513444 0.69738329 0.86148917],0.7822976241702642,[0.80329618 0.98379471 0.90158999 0.79365973 0.81102122 0.92387006],0.8695386493844645,0.24577598316945892,[0.68649384 0.95555117 0.79742921 0.64600798 0.62938443 0.8644214 ],0.7632146709956283,[0.80460444 0.9764134  0.87323349 0.76977105 0.73232031 0.92347001],0.8466354509419648
16,0.23582030772291995,[0.67667936 0.96743298 0.82175553 0.66252494 0.69924172 0.86712998],0.7824607516892931,[0.80233285 0.98333454 0.898839   0.79144057 0.81116598 0.92717028],0.8690472043792665,0.3666512306941592,[0.62315131 0.94041381 0.73013643 0.55503859 0.57243573 0.81936848],0.706757390952769,[0.75514513 0.96791974 0.82459505 0.6858532  0.69042516 0.89368669],0.8029374946642004
17,0.23830633257310113,[0.67016897 0.96295823 0.8244593  0.66694658 0.68130125 0.86531837],0.7785254492105924,[0.79855739 0.98094502 0.90170302 0.79504036 0.79672678 0.92567643],0.8664415007400693,0.25443326649458514,[0.68717507 0.9610382  0.79110534 0.6465398  0.55889848 0.85792473],0.750446935801948,[0.80719492 0.97952099 0.86964398 0.77044892 0.67365848 0.91957783],0.8366741857149499
18,0.22112111824673492,[0.68799624 0.9699049  0.83484403 0.67676661 0.71007888 0.87050137],0.7916820034812088,[0.81100395 0.98463828 0.90815924 0.80141342 0.81767946 0.92881064],0.8752841660390039,0.24537797466568326,[0.69944115 0.95749953 0.80123471 0.63586684 0.64222779 0.86426451],0.7667557543378711,[0.81566377 0.97757139 0.87922419 0.76038865 0.74564086 0.92369129],0.8503633579801643
19,0.21374366018775995,[0.69816057 0.97088254 0.84382273 0.68155474 0.71668198 0.8748185 ],0.7976535092535312,[0.81850516 0.98514386 0.91357309 0.80613787 0.82313767 0.93172832],0.8797043290360148,0.26411216760027234,[0.67182242 0.95321584 0.79593145 0.65303621 0.58487845 0.83575848],0.7491071394932622,[0.79344108 0.97509783 0.87225685 0.77435239 0.68734922 0.90416085],0.8344430372339406
20,0.21221328887169238,[0.7005764  0.97283172 0.84020756 0.688508   0.70940581 0.87258791],0.7973529007487419,[0.82033096 0.98617409 0.91128494 0.81163679 0.81425209 0.93038324],0.8790103509796388,0.260125580581202,[0.6817911  0.95541129 0.7872469  0.62662067 0.63371471 0.85719685],0.7569969187857323,[0.80285882 0.97648208 0.86841188 0.75342293 0.73618104 0.91951196],0.842811452480177
21,0.2214627146672506,[0.68921791 0.96697969 0.8367471  0.67440675 0.70456984 0.87271354],0.7907724704803067,[0.81224364 0.98306991 0.90888559 0.80015854 0.81646475 0.93068582],0.8752513744130538,0.23492903634905815,[0.70361475 0.96340704 0.80055159 0.64276168 0.64165247 0.86660359],0.7697651866938163,[0.8181339  0.98084402 0.87647854 0.76121479 0.74632577 0.92510543],0.85135040924196
22,0.20527014032296545,[0.70771865 0.97278151 0.84847816 0.69474408 0.72224898 0.87972615],0.8042829216324856,[0.82519595 0.98612421 0.91642506 0.81539633 0.82871088 0.93436074],0.8843688612997339,0.24553616652670113,[0.69820211 0.96034589 0.80508783 0.64304055 0.6181839  0.85856279],0.7639038447103101,[0.81423964 0.97916681 0.88118045 0.76402486 0.7222907  0.91962886],0.8467552219714368
23,0.2089131600767761,[0.70121822 0.96874099 0.8426435  0.69079541 0.71920755 0.88422569],0.8011385610415823,[0.82051057 0.9839867  0.91255415 0.81203637 0.82507391 0.93749006],0.8819419606810524,0.30984410028094833,[0.66340544 0.94894437 0.75769944 0.61716818 0.53275737 0.84546124],0.7275726735892207,[0.78660368 0.97287945 0.84273773 0.74086619 0.64236669 0.9115063 ],0.8161600055836663
24,0.19631617320338626,[0.7158226  0.97381421 0.85424495 0.69715279 0.72594582 0.88843058],0.8092351599931072,[0.83142388 0.98667803 0.92021197 0.81727021 0.83069144 0.93982304],0.8876830945476825,0.23641491271015527,[0.70391453 0.96479419 0.80780077 0.63727565 0.60427506 0.8680328 ],0.7643488325484564,[0.81863503 0.98157811 0.88253545 0.76213353 0.71667139 0.92595618],0.8479182807388962
