Epoch,Train_Loss,Train_IoU_per_Class,Train_Mean_IoU,Train_F1_per_Class,Train_Mean_F1,Val_Loss,Val_IoU_per_Class,Val_Mean_IoU,Val_F1_per_Class,Val_Mean_F1
1,0.697346244733055,[0.40356477 0.87576922 0.54174077 0.31491413 0.06552861 0.65334053],0.475809671926986,[0.56436379 0.93027554 0.6920806  0.44698843 0.1012058  0.77766265],0.5854294698314113,0.7501382393681485,[0.33484296 0.72834579 0.60119266 0.3116025  0.14888305 0.70435551],0.47153707646749327,[0.48875671 0.83253134 0.73579075 0.45164501 0.22547166 0.81355483],0.5912917183417764
2,0.5092924345623363,[0.48086543 0.92707078 0.6335186  0.45989774 0.38820267 0.74084911],0.6050673882409802,[0.64278478 0.96166469 0.76637373 0.62070655 0.52270394 0.84476213],0.7264993027369578,0.4764420411724975,[0.51170343 0.93352747 0.65225056 0.47157076 0.46234846 0.74383242],0.6292055171351584,[0.66256138 0.96443091 0.77650832 0.62401786 0.57042238 0.83616406],0.7390174848167564
3,0.44957402982301525,[0.50874036 0.93459757 0.67673845 0.50955985 0.46463695 0.76615461],0.6434046340157838,[0.66812346 0.96576112 0.80074516 0.6663233  0.60383942 0.86105359],0.7609743432168802,0.4175376872653547,[0.54811917 0.95239865 0.69684239 0.52864628 0.56191573 0.7504766 ],0.673066469748473,[0.69679641 0.97498183 0.80735814 0.67795541 0.67280131 0.84047857],0.7783952776257146
4,0.3983485093945033,[0.53777233 0.94489068 0.70983454 0.54604479 0.5105586  0.79244104],0.6735903296294724,[0.69275604 0.97132565 0.82269048 0.69784078 0.64783802 0.87926519],0.7852860276666177,0.3998685123911802,[0.571998   0.94935677 0.69650934 0.51053158 0.59507991 0.78062901],0.6840174356717301,[0.7182209  0.97355039 0.80928333 0.65841096 0.70117191 0.86573257],0.787728344342235
5,0.37743684441431774,[0.55476389 0.94953714 0.72919261 0.54672289 0.55224995 0.80275064],0.6892028537374335,[0.70770746 0.97379314 0.83871209 0.69781642 0.68706618 0.88620146],0.7985494568718076,0.3329512839731963,[0.60198658 0.96222047 0.75058359 0.5537146  0.55587715 0.79858004],0.7038270707212946,[0.74182295 0.98036032 0.84856842 0.69077722 0.65740935 0.87268042],0.7986031136203305
6,0.3594896953988385,[0.57390874 0.95299234 0.74064303 0.56471725 0.55503574 0.81277653],0.700012269879271,[0.72332818 0.97563339 0.84500627 0.71322823 0.68803115 0.8918789 ],0.8061843523281945,0.3484106829956822,[0.588204   0.95980069 0.73075177 0.57637017 0.56729845 0.78770808],0.7016888565647053,[0.73025411 0.97908811 0.83159992 0.71516457 0.68709649 0.86735715],0.8017600567669468
7,0.3396666926610005,[0.58545132 0.95513894 0.75629594 0.57817663 0.58056431 0.81615743],0.7119640944136539,[0.73248734 0.97678026 0.85622966 0.72515141 0.7100246  0.89454262],0.8158693135337041,0.36606067159901495,[0.60195408 0.95860828 0.71295068 0.53697486 0.61311426 0.81378026],0.7062304023493549,[0.73982288 0.97829956 0.81676022 0.68298674 0.71717605 0.88700114],0.8036744309350813
8,0.31294331622201127,[0.60414254 0.96111641 0.76771818 0.60228116 0.61174214 0.83260596],0.7299343975143935,[0.74816282 0.97999072 0.864217   0.74469157 0.73706977 0.90509643],0.829871385251434,0.3201408408906149,[0.60895405 0.96319733 0.74052438 0.57299391 0.57734575 0.81806188],0.7135128840303008,[0.74827705 0.98087202 0.84191375 0.70872793 0.67850745 0.88810978],0.8077346634164458
9,0.3224562738429416,[0.60010607 0.95956367 0.76081221 0.59060687 0.60501158 0.82681781],0.7238197023037279,[0.74486211 0.97916919 0.85842949 0.73525129 0.73221346 0.9014783 ],0.8252339728919434,0.28219459740364033,[0.64118792 0.97248214 0.77687855 0.6043395  0.63464654 0.82315772],0.7421153966933017,[0.77238922 0.98590207 0.86490232 0.73924179 0.72813104 0.89246408],0.8305050865578316
10,0.2998228455325226,[0.61789642 0.96365921 0.77878607 0.61221142 0.63045177 0.83868554],0.7402817392963675,[0.75798458 0.98133165 0.87086402 0.75364822 0.7517663  0.90885589],0.8374084431186187,0.27494992375157884,[0.6631142  0.97274203 0.78773189 0.62336435 0.66345559 0.82923186],0.7566066516253999,[0.78885862 0.98599905 0.8726293  0.75653469 0.75722449 0.89746953],0.8431192800550148
11,0.2757417042437312,[0.63416481 0.96635361 0.79886691 0.62845169 0.67606572 0.84504605],0.7581581307808944,[0.77160699 0.98275799 0.88514117 0.7663912  0.79328333 0.9129041 ],0.8520141314973176,0.30051926928369893,[0.6368584  0.95854977 0.77686465 0.54514921 0.64311608 0.8406279 ],0.7335276704029616,[0.76979761 0.97830931 0.86435433 0.68480587 0.74412143 0.90372597],0.8241857515978693
12,0.26780124163472807,[0.64642533 0.96704073 0.80720023 0.63269101 0.68177373 0.84795747],0.7638480839988789,[0.78033886 0.98309809 0.89075743 0.76858634 0.79711915 0.91479193],0.8557819667961691,0.27256501628004987,[0.65696795 0.97369509 0.80173064 0.61654825 0.62063759 0.82935093],0.7498217405546637,[0.78460832 0.98648374 0.88316783 0.75103592 0.7172594  0.89647576],0.8365051585389076
13,0.2658120449390504,[0.64658166 0.96814924 0.81183722 0.62846134 0.69061702 0.84893996],0.7657644061847425,[0.78040706 0.98368446 0.89287051 0.76508149 0.80364403 0.91522347],0.8568185033413754,0.2764840160051118,[0.65232174 0.9640323  0.7950642  0.63604995 0.6350955  0.84235702],0.754153451338047,[0.78073219 0.98138128 0.8768908  0.76712696 0.73249094 0.90604085],0.8407771696042999
14,0.2463143476611608,[0.66412552 0.97008761 0.81549666 0.65255913 0.69618254 0.86253812],0.7768315959024319,[0.79410838 0.98466714 0.89496041 0.78414372 0.80580541 0.92401469],0.8646166258495609,0.31320239700700925,[0.65058216 0.94116734 0.78274205 0.62475903 0.46299168 0.82414423],0.7143977484384615,[0.77795294 0.96898983 0.86943574 0.75763013 0.59113477 0.8927231 ],0.8096444173108625
15,0.24195005587459384,[0.67150952 0.97356623 0.82720108 0.64912407 0.69057202 0.86467566],0.7794414302354348,[0.79932166 0.98653168 0.90369652 0.78173237 0.80157481 0.92540305],0.8663766812371873,0.27435499337920244,[0.66628426 0.97001924 0.79755782 0.62553046 0.65034123 0.84700045],0.7594555761712347,[0.79034742 0.98453134 0.87958    0.75994301 0.74302459 0.90892955],0.8443926525491195
16,0.2302518215078812,[0.67706596 0.97303408 0.83812418 0.6616791  0.71765678 0.86690488],0.7890774961581123,[0.80391514 0.98625757 0.91022503 0.7913265  0.82217495 0.92685711],0.8734593831559088,0.2884933580306993,[0.66698614 0.96862219 0.79959489 0.59377116 0.65713876 0.80207153],0.7480307796926143,[0.79118833 0.98380401 0.88107243 0.72634034 0.75046432 0.87661747],0.8349144838082241
