Epoch,Train_Loss,Train_IoU_per_Class,Train_Mean_IoU,Train_F1_per_Class,Train_Mean_F1,Val_Loss,Val_IoU_per_Class,Val_Mean_IoU,Val_F1_per_Class,Val_Mean_F1
1,0.8223758439222971,[0.32199779 0.8081445  0.4999093  0.33899821 0.09287962 0.57033885],0.4387113781862891,[0.48002819 0.89034156 0.65504657 0.48890088 0.15562952 0.72052187],0.5650780995218515,1.0651263108378963,[0.28138966 0.82527493 0.18008861 0.1869085  0.11665916 0.44838974],0.33978509808940666,[0.43331523 0.90162299 0.26889236 0.28713725 0.19150514 0.60253666],0.4475016058603886
2,0.6556173811356226,[0.38661196 0.86286855 0.56078771 0.41152351 0.22073619 0.65287341],0.5159002204925428,[0.55436586 0.925661   0.70767112 0.57215346 0.33773285 0.78493503],0.6470865533025332,0.759098721962226,[0.35733113 0.84590501 0.51038835 0.12248373 0.14569397 0.6473845 ],0.43819778143417126,[0.51924864 0.9140445  0.64519662 0.20086005 0.2174434  0.77516886],0.5453270119169885
3,0.6165607773043491,[0.40210157 0.8769443  0.58919025 0.43063303 0.28924326 0.65965498],0.5412945638024133,[0.5708109  0.93390716 0.73427066 0.59044329 0.42256718 0.79055292],0.6737586848515397,0.7389273259200548,[0.38608617 0.85663336 0.49695966 0.28810472 0.20400437 0.55643071],0.464703164226784,[0.54797124 0.92046834 0.63360405 0.42047789 0.29978758 0.70126472],0.5872623038788637
4,0.5664639815136239,[0.43440853 0.89829866 0.62461811 0.43842173 0.33826477 0.68340806],0.5695699760259164,[0.60255693 0.94604606 0.76106271 0.59441909 0.47825141 0.80657355],0.6981516243504751,1.5898355010308718,[0.40026364 0.90086639 0.38878072 0.02885011 0.27173128 0.41032902],0.40013685948989614,[0.56290996 0.94696424 0.52750959 0.05129222 0.38050692 0.56301432],0.5053662067241196
5,0.532090979317824,[0.4543772  0.90842045 0.63214693 0.47183415 0.40923477 0.70830529],0.5973864658541667,[0.62195054 0.95159543 0.76713204 0.63110598 0.55375714 0.82646363],0.7253341259259477,0.5624313056468964,[0.44393849 0.91020436 0.55647309 0.3446766  0.35432338 0.65465918],0.5440458494214048,[0.60984239 0.95243488 0.69524018 0.4781451  0.47053581 0.77867337],0.664145288662168
6,0.5103788353778698,[0.46992605 0.91726276 0.63906722 0.4844793  0.45464853 0.71505656],0.6134067372229226,[0.63649715 0.9564741  0.77082854 0.64269215 0.59878087 0.82950755],0.7391300598205425,0.5040113227932077,[0.45855311 0.92526262 0.60280131 0.43440061 0.30745033 0.70186152],0.5717215828144936,[0.62174765 0.960663   0.73884932 0.57650242 0.4158697  0.81672222],0.6883923837060713
7,0.48851298568425355,[0.47785698 0.92052523 0.66487455 0.48981543 0.44745422 0.72306679],0.620598864580654,[0.64395188 0.95835842 0.79370996 0.64552261 0.59191556 0.83620933],0.7449446267988762,0.4981178131542708,[0.46083035 0.92237836 0.59790137 0.43113323 0.41376101 0.72136772],0.5912286739208196,[0.62457996 0.95912287 0.7276589  0.57779709 0.54655415 0.83277929],0.7114153773066375
8,0.4571896794217604,[0.49618999 0.92553154 0.67623496 0.52581176 0.50515152 0.74327685],0.645366102847972,[0.66064107 0.96101173 0.80103985 0.68173935 0.6476467  0.84965001],0.7669547857130291,0.5450026769387094,[0.4491048  0.93802172 0.52508498 0.43730318 0.44434254 0.67827345],0.5786884453686262,[0.61040863 0.96770762 0.65197674 0.59478024 0.57372042 0.79910658],0.6996167059340288
9,0.4460155914227168,[0.51154351 0.93631216 0.69065068 0.51880536 0.4859672  0.74012728],0.6472343675861204,[0.67369355 0.96692081 0.81189818 0.67531279 0.62893881 0.84771099],0.7674125207611073,0.4750056133458489,[0.46188554 0.93277676 0.61465713 0.46965717 0.43018891 0.71158563],0.6034585241465257,[0.62474073 0.96482001 0.74211917 0.623032   0.56079893 0.82480126],0.7233853505744614
10,0.43817982436330233,[0.51608005 0.93076273 0.69680563 0.52883355 0.52286378 0.75605602],0.6585669599324004,[0.67791791 0.96379967 0.8170825  0.6814707  0.66525738 0.85872478],0.7773754904966479,0.4990216485763851,[0.4447154  0.93128256 0.59797723 0.47164447 0.41428466 0.70933131],0.5948726059664695,[0.61004869 0.96379988 0.72760524 0.62284812 0.53541865 0.81787898],0.7129332586171171
11,0.4094301528400845,[0.5321293  0.93958766 0.71687817 0.53881716 0.54615891 0.76679942],0.6733951056088654,[0.69117248 0.96866191 0.83082765 0.68731092 0.68559385 0.86548093],0.7881746238419488,0.5568527014631974,[0.46227797 0.92329917 0.5919173  0.32736745 0.29625856 0.64533185],0.5410753849034352,[0.62586389 0.95956194 0.71655613 0.46457162 0.39754201 0.77241785],0.6560855752684706
12,0.38568305417343424,[0.54572159 0.94270516 0.72797218 0.5662868  0.56180365 0.78409678],0.6880976944460452,[0.70326923 0.97038127 0.83795293 0.71394784 0.69727643 0.87745264],0.8000467228875667,0.45766953653410863,[0.49467032 0.94485769 0.6351606  0.44552054 0.45164542 0.70265922],0.6124189673770289,[0.65563966 0.97131558 0.76337437 0.58681477 0.58532067 0.81793928],0.7300673873626358
13,0.3806273368773637,[0.54990169 0.9408502  0.73340397 0.5777311  0.60537786 0.78283972],0.6983507568171868,[0.70694872 0.96935015 0.84086763 0.72578053 0.73585411 0.87618923],0.8091650613250189,0.5924643317335531,[0.44982586 0.92378029 0.51013    0.43072211 0.41763227 0.63491095],0.5611669134589632,[0.61226681 0.95969177 0.63869199 0.58553267 0.54514108 0.7614162 ],0.6837900874297862
14,0.3780628889799118,[0.56041976 0.95094903 0.72530748 0.55861093 0.58607913 0.78712709],0.6947489041191193,[0.71575047 0.97476692 0.83766612 0.709737   0.72175517 0.87910096],0.8064627750880189,0.5312319343027315,[0.47105039 0.94608108 0.61850226 0.44528333 0.46601965 0.65670721],0.6006073213607203,[0.63147179 0.97200964 0.74584314 0.60191033 0.58386349 0.78149229],0.7194317805401066
15,0.345672811071078,[0.58502312 0.95303566 0.75423579 0.58372467 0.57988058 0.80793125],0.7106385106726746,[0.73655799 0.97586878 0.85526453 0.72925362 0.71004601 0.89243   ],0.8165701542705021,0.5183662011435157,[0.49773499 0.95033171 0.6431129  0.39928519 0.33143526 0.67712942],0.5831715785163013,[0.65827748 0.97433004 0.7678248  0.54307692 0.43722221 0.79821265],0.6964906836500425
16,0.33057265756306825,[0.59185315 0.94995856 0.77610534 0.60329785 0.64004937 0.80792908],0.7281988911146735,[0.74093933 0.97418694 0.87158242 0.74610686 0.76686386 0.89261358],0.8320488316685329,0.48761591079987976,[0.46972579 0.92590506 0.64177229 0.44418756 0.37219011 0.71493898],0.594786630088684,[0.63229826 0.960747   0.76971741 0.58872458 0.48338172 0.82571339],0.7100970604898115
17,0.31235721514180853,[0.61270487 0.95433087 0.78297257 0.62198845 0.64289221 0.82431865],0.7398679380270617,[0.75770715 0.97652594 0.87412703 0.76019822 0.76771419 0.90266733],0.8398233084697967,0.6089779632656198,[0.46661548 0.9361551  0.53817253 0.42409509 0.3585917  0.64655306],0.5616971609660572,[0.62815476 0.96664217 0.67129192 0.57894446 0.480026   0.77247187],0.6829218644783589
18,0.2927101058540521,[0.63222352 0.95954201 0.80218155 0.6444446  0.66377964 0.82740834],0.7549299420903863,[0.77304028 0.97929606 0.88853586 0.78019704 0.7849288  0.90428569],0.8517139540686284,0.429504731768056,[0.51113753 0.94846088 0.66312788 0.50566251 0.47602697 0.74468054],0.6415160521578959,[0.67042179 0.97338411 0.78595457 0.65231101 0.59536015 0.84818319],0.7542691372269602
19,0.2709755581562166,[0.65260117 0.9642283  0.8071125  0.65900607 0.67297357 0.84438228],0.7667173141826312,[0.78800853 0.98175313 0.89082146 0.78895416 0.78558315 0.91495296],0.8583455647767325,0.46401344474993256,[0.50981811 0.95130258 0.65634809 0.48234721 0.46112799 0.73839703],0.6332235020634376,[0.67016966 0.97488253 0.77747377 0.63096786 0.59352231 0.84278817],0.7483007164933442
20,0.26262504262504754,[0.66267067 0.96406692 0.82150342 0.66792364 0.67487541 0.84977408],0.7734690226936415,[0.79530898 0.98166533 0.90090263 0.7961327  0.79004183 0.9181369 ],0.863698063786199,0.46773220324202586,[0.51884127 0.94755094 0.6560717  0.48846685 0.50944821 0.72521661],0.6409325974977068,[0.6770643  0.9728387  0.77861345 0.63189001 0.63029734 0.83393841],0.7541070326656234
21,0.2562253633858981,[0.67361176 0.96369399 0.81747649 0.68425604 0.6718789  0.85100581],0.7769871647067276,[0.80314231 0.98145339 0.89704503 0.80826797 0.78522565 0.91876853],0.8656504799922305,0.6144143099847593,[0.46679549 0.94044567 0.51767161 0.36366402 0.45252321 0.67359743],0.5691162386353601,[0.62969037 0.96896436 0.64831749 0.51102591 0.5796295  0.79548264],0.6888517122062151
