Epoch,Train_Loss,Train_IoU_per_Class,Train_Mean_IoU,Train_F1_per_Class,Train_Mean_F1,Val_Loss,Val_IoU_per_Class,Val_Mean_IoU,Val_F1_per_Class,Val_Mean_F1
1,1.0983530023583659,[0.27003408 0.74879545 0.39727474 0.2805324  0.03919623 0.48488953],0.37012040669501567,[0.41852327 0.84945501 0.54940162 0.42091111 0.06773256 0.63350494],0.4899214181067702,1.015840100614648,[0.26821299 0.7539066  0.48059812 0.34274565 0.17224714 0.44250108],0.41003526001079654,[0.41880801 0.85687726 0.63206204 0.49349406 0.27030289 0.60710504],0.546441552078026
2,0.7522505836354362,[0.34467892 0.83721447 0.53898203 0.37903358 0.23381456 0.60087876],0.4891003851448434,[0.509124   0.91050465 0.69047316 0.53855087 0.3504572  0.74416438],0.6238790433770888,0.7087232854805494,[0.37967067 0.84231635 0.55735437 0.40503423 0.29714024 0.60244175],0.5139929328819873,[0.5423767  0.91226268 0.69559707 0.55636643 0.41295043 0.74217497],0.6436213803783032
3,0.6741939570616793,[0.37777318 0.86470028 0.5740726  0.40934502 0.28164488 0.63034025],0.5229793696085431,[0.54478601 0.92682667 0.72031926 0.57004073 0.41310289 0.76949498],0.6574284239829501,0.6072063069594534,[0.4067758  0.88393849 0.57968178 0.46327595 0.30914933 0.63133057],0.5456919852019239,[0.57103015 0.93755983 0.71213151 0.62294266 0.43336033 0.76068049],0.6729508295252903
4,0.6121564223258583,[0.41059192 0.89083723 0.59418812 0.43089446 0.34965235 0.65534396],0.5552513397206771,[0.57879135 0.94177291 0.73616862 0.58988464 0.49271514 0.78720055],0.687755535678639,0.8743842455901598,[0.3656296  0.84943979 0.37719886 0.30062041 0.13056967 0.57183909],0.43254956824583995,[0.52918794 0.91722864 0.51108705 0.44881508 0.20883643 0.71137675],0.5544219821865563
5,0.5815274800967287,[0.42757906 0.89628996 0.61360986 0.45564312 0.41107469 0.67316192],0.5795597678983159,[0.59671386 0.94477545 0.7533134  0.61598522 0.55421688 0.80078233],0.7109645225285887,0.7539321740991191,[0.34902981 0.79498013 0.51993569 0.39577166 0.19779783 0.58330659],0.4734702856658339,[0.51005216 0.88443421 0.65838895 0.55264879 0.27524943 0.72128485],0.600343065919971
6,0.549463971345513,[0.44294072 0.90215115 0.63170352 0.47527165 0.40262091 0.68882546],0.5905855693336991,[0.61080676 0.94819993 0.76687177 0.63467773 0.54958204 0.81176561],0.7203173078941526,0.678108612173482,[0.44291817 0.90334874 0.55051924 0.38595637 0.33475155 0.56644009],0.5306556917269502,[0.60776425 0.94882995 0.68640472 0.54259785 0.45526174 0.70356223],0.6574034552547362
7,0.521575079747924,[0.46330068 0.91680914 0.64941513 0.47345455 0.47139688 0.69807164],0.6120746689747996,[0.63073397 0.95614973 0.78189375 0.63055801 0.6147978  0.8191313 ],0.7388774261804137,0.5672983386014637,[0.43135701 0.91391577 0.55828475 0.44849477 0.40226353 0.66188515],0.5693668278913001,[0.59351617 0.9545824  0.6949677  0.60286771 0.51810049 0.78742755],0.691910335806162
8,0.4991329146756066,[0.47282584 0.92271367 0.65780877 0.4991923  0.47540373 0.71601584],0.6239933572583084,[0.63895381 0.95956986 0.78746351 0.65601693 0.61605543 0.83144155],0.7482501820051742,0.5635919076831717,[0.45434782 0.87675644 0.62113006 0.44814115 0.41924229 0.61775839],0.5728960229574496,[0.61805043 0.93354674 0.7472124  0.60533193 0.53251387 0.74696247],0.6972696411945404
9,0.48677799933486515,[0.47324033 0.91769332 0.67541513 0.50886938 0.50457433 0.72160017],0.6335654435736805,[0.63948049 0.95664845 0.7998508  0.66503618 0.64130155 0.83499493],0.7562187346342354,0.7198403799220136,[0.4393978  0.9049126  0.51957599 0.37391258 0.35430443 0.49224203],0.5140575725572968,[0.6033534  0.94889787 0.65495568 0.52088074 0.46994624 0.64347516],0.6402515137706998
10,0.46949545569993834,[0.48512159 0.92686926 0.67659169 0.50819462 0.52824283 0.72946644],0.6424144062868975,[0.65091263 0.96172699 0.80183193 0.66513673 0.66519143 0.84059927],0.7642331618102797,0.5273971730156949,[0.46749681 0.92587652 0.54430365 0.48466087 0.41055813 0.69449172],0.5878979488652755,[0.63080943 0.96116148 0.67870264 0.63668753 0.52512464 0.81155674],0.7073404103228457
