Epoch,Train_Loss,Train_IoU_per_Class,Train_Mean_IoU,Train_F1_per_Class,Train_Mean_F1,Val_Loss,Val_IoU_per_Class,Val_Mean_IoU,Val_F1_per_Class,Val_Mean_F1
1,0.9458776519254402,[0.28704774 0.75684836 0.42572623 0.26906543 0.14678542 0.51176371],0.3995394835832889,[0.44085643 0.85786104 0.57728105 0.39691044 0.23177017 0.66395587],0.5281058350718034,0.7932531582681757,[0.29483958 0.80949416 0.44141214 0.38716177 0.06308304 0.53759419],0.4222641474701512,[0.4500778  0.8919175  0.56913731 0.53480695 0.1082101  0.6816366 ],0.5392977113634084
2,0.7331491085114302,[0.34609264 0.81674424 0.53468594 0.36187409 0.26789101 0.59444604],0.48695566223007813,[0.50950896 0.89801078 0.6896019  0.51766347 0.3941223  0.73939684],0.6247173750283158,0.8340706527233124,[0.30813518 0.82812405 0.39858227 0.22555767 0.19598479 0.64314425],0.4332547028886135,[0.46110424 0.90362781 0.54435687 0.33278768 0.28838899 0.77704297],0.5512180926274787
3,0.666247026235969,[0.38232746 0.84844173 0.57343455 0.40102025 0.32576139 0.62727946],0.526377473351069,[0.54888131 0.91716997 0.72086701 0.56304733 0.46116675 0.7649495 ],0.6626803111662805,0.7721497965486426,[0.38032751 0.84035313 0.36186707 0.34892071 0.25107357 0.49720848],0.4466250790163094,[0.54433377 0.91112076 0.47713736 0.49205483 0.34281567 0.64359744],0.5685099704776229
4,0.6006606969016569,[0.41342208 0.86846729 0.6080433  0.44072146 0.39296577 0.65652336],0.5633572111816008,[0.58075024 0.92887192 0.74958955 0.60394086 0.53930874 0.78902467],0.6985809954428,0.6177691166338167,[0.36233486 0.85563108 0.54565263 0.46135748 0.28941931 0.68748001],0.5336458922502699,[0.52371508 0.92026252 0.67875751 0.61041757 0.41096213 0.8106298 ],0.6591241020676598
5,0.5620461343615143,[0.43386967 0.88080912 0.6218356  0.46221268 0.42768181 0.67832021],0.5841215147153923,[0.60111823 0.93606705 0.76135734 0.62093106 0.57876409 0.80539106],0.7172714716950317,0.7559812123838224,[0.41220601 0.8666713  0.53151318 0.22676724 0.17578207 0.61605702],0.4714994694788179,[0.57795795 0.92673454 0.66736057 0.35014352 0.25795131 0.75140084],0.5885914549735549
6,0.5411293423838086,[0.45448227 0.89360777 0.64273569 0.46894901 0.42404726 0.67164153],0.5925772550435345,[0.62060566 0.94333891 0.77804984 0.62866898 0.57114966 0.79937009],0.7235305230075747,0.6950105334583082,[0.33144863 0.86969428 0.48937571 0.42061196 0.32003987 0.63057746],0.510291315958296,[0.48956517 0.92814437 0.63389688 0.56581086 0.44791776 0.76377387],0.6381848172627781
7,0.5391752319755377,[0.4487312  0.89204066 0.62343926 0.4917402  0.40786803 0.68751091],0.5918883776757866,[0.61609897 0.94241187 0.75925625 0.64935345 0.54892335 0.8109701 ],0.721168997226122,0.6064828893071726,[0.44462854 0.87069165 0.46446892 0.42797858 0.1987462  0.66190429],0.511403030251147,[0.60816109 0.92891892 0.60187738 0.57707416 0.26749465 0.78894931],0.6287459197593673
8,0.5138325420794664,[0.46738998 0.90200418 0.64730594 0.48339754 0.47009934 0.6944445 ],0.6107735805828585,[0.63366172 0.94814767 0.7792242  0.64091914 0.61635534 0.81635264],0.7391101170940623,0.7159061549525512,[0.41614902 0.86980559 0.31394763 0.44231988 0.38953574 0.65030004],0.5136763147267885,[0.57990977 0.92821091 0.42547059 0.59075537 0.51456656 0.78052516],0.6365730608558168
9,0.5073221687365461,[0.47575284 0.90676979 0.65635683 0.49463084 0.47003516 0.69517954],0.6164541655611017,[0.64072942 0.95076926 0.7876756  0.6535881  0.61556379 0.81686804],0.7441990346774275,0.6789477404795194,[0.37367506 0.84719533 0.5640408  0.35875771 0.19643849 0.66593564],0.5010071722872295,[0.53681499 0.91516706 0.69979589 0.50158273 0.27741783 0.79075413],0.6202554373650632
10,0.48722693462062766,[0.47635177 0.89978749 0.67510056 0.50730516 0.50676315 0.71985503],0.6308605277818846,[0.64067034 0.94674661 0.80056284 0.66304057 0.65353331 0.83471074],0.7565440681797487,0.5375627734159169,[0.46893107 0.88640966 0.54815543 0.50689071 0.2358527  0.70004319],0.5577137936498937,[0.63217445 0.93790904 0.67807802 0.6549068  0.31114882 0.81827159],0.6720814526748943
