Epoch,Train_Loss,Train_IoU_per_Class,Train_Mean_IoU,Train_F1_per_Class,Train_Mean_F1,Val_Loss,Val_IoU_per_Class,Val_Mean_IoU,Val_F1_per_Class,Val_Mean_F1
1,0.9851510693860609,"[2.48167096e-01 7.50787069e-01 3.82272783e-01 2.29403620e-01
 1.07885325e-04 5.17401143e-01]",0.3546899327113972,"[3.88996336e-01 8.52312220e-01 5.32466672e-01 3.55844003e-01
 2.14871673e-04 6.65698429e-01]",0.4659220887702209,0.8858217220557364,[0.34983658 0.80129323 0.34966565 0.11733908 0.         0.548155  ],0.3610482573380898,[0.5054143  0.88620057 0.47285779 0.19371165 0.         0.68232642],0.4567517887399413
2,0.7986739413682804,[0.3301328  0.83418337 0.46361644 0.31135418 0.02298196 0.58236297],0.4241052860240437,[0.49019287 0.90793647 0.61383591 0.45965968 0.03909176 0.72600063],0.5394528870717837,0.9615462155718553,[0.32555323 0.81873319 0.30916776 0.19046643 0.0053341  0.4351622 ],0.34740281716892096,[0.47177426 0.89659026 0.42703701 0.3009474  0.01011442 0.57755419],0.44733625624908124
3,0.7433005611563838,[0.34508293 0.85300183 0.50313114 0.34283783 0.11964446 0.61120596],0.4624840246454411,[0.50638551 0.91916412 0.64972034 0.49421138 0.19331212 0.74832475],0.5851863696993861,0.7818517931982091,[0.28645626 0.80774396 0.44560602 0.23281736 0.18441552 0.54539932],0.41707307401336374,[0.43177411 0.890005   0.56505546 0.34399216 0.28857985 0.67699561],0.5327336998950654
4,0.6876209195270094,[0.37242714 0.87197529 0.53314285 0.38021615 0.16745577 0.63961618],0.49413889681620016,[0.53492071 0.93036398 0.67778515 0.5376799  0.26234571 0.77056145],0.6189428152662736,0.9006624178666818,[0.35889138 0.85991922 0.30947515 0.23444731 0.07462281 0.45722897],0.3824308038986904,[0.512873   0.92138865 0.41803597 0.35083784 0.12171211 0.59697721],0.48697079781130154
5,0.6732293711152187,[0.38506572 0.88068182 0.52530612 0.37910424 0.23942231 0.64750254],0.5095137908229019,[0.55033618 0.93532798 0.66879244 0.53097318 0.35925736 0.77480908],0.6365827046004449,0.6840746155694911,[0.40808205 0.87456667 0.4886711  0.27633266 0.23611152 0.59892489],0.48044815003218866,[0.56564791 0.9301737  0.60540372 0.40055863 0.34566331 0.72419192],0.5952731995924919
6,0.6386598412380662,[0.3909678  0.88888883 0.56340683 0.40132863 0.27511807 0.66008792],0.5299663453522615,[0.55582385 0.93991607 0.70105786 0.55723418 0.40090368 0.78582508],0.6567934526677438,0.7870110563541713,[0.40406593 0.88666193 0.45537071 0.25118777 0.24915897 0.50076769],0.4578688343100798,[0.55815654 0.93755299 0.56308375 0.36921078 0.35637282 0.63762562],0.570333749830305
7,0.625534819447717,[0.40843466 0.89702889 0.56054858 0.41260424 0.28994262 0.65945029],0.5380015467772307,[0.5746116  0.94461999 0.70037925 0.56727954 0.41167048 0.78471214],0.6638788355955703,0.8391096709590209,[0.36320598 0.87108282 0.40541602 0.27440012 0.15537411 0.51088267],0.4300602866780792,[0.51271497 0.92792662 0.51571233 0.40256751 0.22951605 0.64457653],0.5388356672987707
8,0.6028122777162597,[0.41399659 0.90120102 0.57039971 0.42349623 0.32994663 0.68179412],0.5534723841103314,[0.57947593 0.94705718 0.70803338 0.57529674 0.46035558 0.80158954],0.6786347251306036,0.7110617780371716,[0.37937683 0.87527093 0.49270272 0.30493528 0.1621073  0.5635796 ],0.4629954450407448,[0.53703565 0.93015377 0.60562583 0.42527123 0.23626932 0.69350869],0.5713107474930119
9,0.5800088998883269,[0.43158186 0.9099468  0.59119396 0.43080116 0.33581757 0.69324507],0.5654310695364956,[0.59658774 0.95216583 0.72331045 0.58475337 0.46187829 0.80973553],0.6880718681762761,0.8306444726492229,[0.36692865 0.87925541 0.40427006 0.22222416 0.17748523 0.54252859],0.4321153493022218,[0.52451044 0.9330094  0.51611252 0.32794509 0.25843362 0.67786472],0.5396459633363855
10,0.5472422077212222,[0.44651133 0.91123692 0.61547924 0.46553563 0.35880505 0.6962772 ],0.5823075616158285,[0.61183655 0.95280577 0.74593588 0.6181462  0.49002677 0.8120151 ],0.7051277084893351,0.596571003135882,[0.40084948 0.88634962 0.49672745 0.37352225 0.28944569 0.66316799],0.5183437462563457,[0.55773871 0.93718477 0.5969415  0.50499031 0.39059209 0.7741822 ],0.626938261495461
11,0.5310185322927874,[0.45166262 0.92231149 0.6239618  0.46323301 0.38112214 0.70638249],0.5914455943431817,[0.61720783 0.95903879 0.75235785 0.61478997 0.50522838 0.81951331],0.7113560204240746,0.5360658686412009,[0.46098675 0.89909838 0.55609456 0.40536514 0.32350126 0.67603373],0.5535133019061106,[0.61253838 0.94497934 0.66138238 0.5330963  0.4368023  0.78317705],0.6619959582305072
12,0.521715150600256,[0.45503448 0.92289862 0.62391144 0.45315052 0.39922834 0.71435822],0.5947636061648761,[0.619872   0.95914308 0.75143944 0.60485503 0.52550025 0.82544254],0.7143753903685588,0.6375731076849135,[0.40305584 0.86386626 0.49970961 0.30877028 0.28552707 0.61626951],0.4961997616840706,[0.56374423 0.92448338 0.61379591 0.43435318 0.38453341 0.73606569],0.6094959673002706
13,0.5132408519123876,[0.45787937 0.91964034 0.64100859 0.4694928  0.4051768  0.71036773],0.6005942728909638,[0.62230851 0.95747694 0.76354171 0.62157765 0.53274114 0.82231861],0.7199940952880294,0.7672237502901178,[0.39672021 0.8787224  0.45606895 0.28706675 0.20072926 0.58538651],0.4674490128791628,[0.55332649 0.93214686 0.56257467 0.40881858 0.28121691 0.70721569],0.5742165363033309
